ax,ay,rollFiltered,pitchFiltered
0.41,0.41,0.11,0.11
-0.02,-0.02,-0.01,-0.01
0.40,0.36,0.40,0.36
0.51,0.15,0.51,0.15
0.51,0.51,0.16,0.16
0.15,0.15,0.01,0.01
0.40,-0.10,0.40,-0.10
0.49,0.19,0.49,0.19
0.49,0.49,0.19,0.19
0.19,0.19,0.04,0.04
0.06,0.11,0.06,0.11
0.14,0.32,0.14,0.32
0.14,0.14,0.11,0.11
0.32,0.32,0.10,0.10
0.20,0.03,0.20,0.03
0.47,0.07,0.47,0.07
0.47,0.47,0.15,0.15
0.07,0.07,0.06,0.06
0.21,0.08,0.21,0.08
0.24,0.11,0.24,0.11
0.24,0.24,0.11,0.11
0.11,0.11,0.05,0.05
0.37,0.18,0.37,0.18
0.12,0.30,0.12,0.30
0.12,0.12,0.05,0.05
0.30,0.30,0.10,0.10
0.28,0.11,0.28,0.11
0.22,-0.20,0.22,-0.20
0.22,0.22,0.03,0.03
0.27,0.23,0.27,0.23
0.27,0.27,0.09,0.09
0.23,0.23,0.00,0.00
0.22,0.14,0.22,0.14
0.17,0.04,0.17,0.04
0.17,0.17,0.05,0.05
0.04,0.04,-0.01,-0.01
0.32,0.05,0.32,0.05
0.20,0.07,0.20,0.07
0.20,0.20,0.03,0.03
0.07,0.07,-0.01,-0.01
0.28,0.17,0.28,0.17
0.17,0.11,0.17,0.11
0.17,0.17,0.00,0.00
0.11,0.11,-0.00,-0.00
0.35,0.01,0.35,0.01
0.34,0.13,0.34,0.13
0.34,0.34,0.04,0.04
0.13,0.13,0.01,0.01
0.22,0.13,0.22,0.13
0.20,0.09,0.20,0.09
0.20,0.20,0.02,0.02
0.09,0.09,0.01,0.01
0.19,0.02,0.19,0.02
0.19,0.07,0.19,0.07
0.19,0.19,0.00,0.00
0.07,0.07,-0.00,-0.00
0.16,0.22,0.16,0.22
0.36,0.08,0.36,0.08
0.36,0.36,0.04,0.04
0.08,0.08,-0.00,-0.00
0.39,0.03,0.39,0.03
0.24,0.11,0.24,0.11
0.24,0.24,0.03,0.03
0.11,0.11,0.00,0.00
0.18,0.03,0.18,0.03
0.26,0.08,0.26,0.08
0.26,0.26,0.04,0.04
0.08,0.08,-0.00,-0.00
0.18,0.11,0.18,0.11
0.13,0.09,0.13,0.09
0.13,0.13,-0.00,-0.00
0.09,0.09,-0.00,-0.00
0.37,0.11,0.37,0.11
0.20,-0.01,0.20,-0.01
0.20,0.20,-0.01,-0.01
-0.01,-0.01,-0.03,-0.03
0.40,0.32,0.40,0.32
0.34,0.09,0.34,0.09
0.34,0.34,0.03,0.03
0.09,0.09,-0.02,-0.02
0.14,-0.05,0.14,-0.05
0.13,0.20,0.13,0.20
0.13,0.13,-0.01,-0.01
0.20,0.20,0.02,0.02
0.23,0.07,0.23,0.07
0.43,0.02,0.43,0.02
0.43,0.43,0.06,0.06
0.02,0.02,-0.01,-0.01
0.25,0.04,0.25,0.04
0.20,0.14,0.20,0.14
0.20,0.20,0.03,0.03
0.14,0.14,0.01,0.01
0.44,0.10,0.44,0.10
0.11,0.17,0.11,0.17
0.11,0.11,-0.01,-0.01
0.17,0.17,0.03,0.03
0.24,0.05,0.24,0.05
0.29,0.01,0.29,0.01
0.29,0.29,0.01,0.01
0.01,0.01,-0.00,-0.00
0.38,0.09,0.38,0.09
0.35,0.01,0.35,0.01
0.35,0.35,0.05,0.05
0.01,0.01,-0.03,-0.03
