ax,ay,rollFiltered,pitchFiltered
0.13,0.11,0.13,0.11
0.22,0.06,0.22,0.06
0.22,0.22,0.03,0.03
0.06,0.06,0.02,0.02
0.15,0.07,0.15,0.07
0.19,0.11,0.19,0.11
0.19,0.19,0.03,0.03
0.11,0.11,0.01,0.01
0.22,0.10,0.22,0.10
0.19,0.11,0.19,0.11
0.19,0.19,0.03,0.03
0.11,0.11,0.01,0.01
0.21,0.09,0.21,0.09
0.28,0.11,0.28,0.11
0.28,0.28,0.03,0.03
0.11,0.11,0.02,0.02
0.24,0.06,0.24,0.06
0.18,0.04,0.18,0.04
0.18,0.18,0.03,0.03
0.04,0.04,0.01,0.01
0.24,0.14,0.24,0.14
0.23,0.10,0.23,0.10
0.23,0.23,0.03,0.03
0.10,0.10,0.01,0.01
0.24,0.07,0.24,0.07
0.23,0.08,0.23,0.08
0.23,0.23,0.03,0.03
0.08,0.08,0.01,0.01
0.22,0.12,0.22,0.12
0.25,0.09,0.25,0.09
0.25,0.25,0.03,0.03
0.09,0.09,0.01,0.01
0.20,0.09,0.20,0.09
0.17,0.06,0.17,0.06
0.17,0.17,0.03,0.03
0.06,0.06,0.01,0.01
0.21,0.12,0.21,0.12
0.20,0.11,0.20,0.11
0.20,0.20,0.03,0.03
0.11,0.11,0.01,0.01
0.16,0.09,0.16,0.09
0.27,0.06,0.27,0.06
0.27,0.27,0.03,0.03
0.06,0.06,0.01,0.01
0.24,0.11,0.24,0.11
0.29,0.09,0.29,0.09
0.29,0.29,0.03,0.03
0.09,0.09,0.01,0.01
0.19,0.10,0.19,0.10
0.26,0.04,0.26,0.04
0.26,0.26,0.04,0.04
0.04,0.04,0.01,0.01
0.19,0.03,0.19,0.03
0.21,0.16,0.21,0.16
0.21,0.21,0.04,0.04
0.16,0.16,0.01,0.01
0.24,0.06,0.24,0.06
0.25,0.15,0.25,0.15
0.25,0.25,0.04,0.04
0.15,0.15,0.01,0.01
0.18,0.09,0.18,0.09
0.20,0.10,0.20,0.10
0.20,0.20,0.05,0.05
0.10,0.10,0.01,0.01
0.14,0.06,0.14,0.06
0.22,0.05,0.22,0.05
0.22,0.22,0.05,0.05
0.05,0.05,0.01,0.01
0.19,0.08,0.19,0.08
0.21,0.10,0.21,0.10
0.21,0.21,0.04,0.04
0.10,0.10,0.01,0.01
0.23,0.12,0.23,0.12
0.26,0.11,0.26,0.11
0.26,0.26,0.05,0.05
0.11,0.11,0.01,0.01
0.26,0.07,0.26,0.07
0.21,0.07,0.21,0.07
0.21,0.21,0.05,0.05
0.07,0.07,0.01,0.01
0.20,0.10,0.20,0.10
0.23,0.03,0.23,0.03
0.23,0.23,0.05,0.05
0.03,0.03,0.01,0.01
0.22,0.08,0.22,0.08
0.16,0.12,0.16,0.12
0.16,0.16,0.04,0.04
0.12,0.12,0.01,0.01
0.23,0.10,0.23,0.10
0.21,0.06,0.21,0.06
0.21,0.21,0.04,0.04
0.06,0.06,0.01,0.01
0.24,0.15,0.24,0.15
0.22,0.14,0.22,0.14
0.22,0.22,0.04,0.04
0.14,0.14,0.01,0.01
0.18,0.08,0.18,0.08
0.18,0.12,0.18,0.12
0.18,0.18,0.03,0.03
0.12,0.12,0.01,0.01
0.20,0.04,0.20,0.04
0.21,0.07,0.21,0.07
0.21,0.21,0.03,0.03
0.07,0.07,0.01,0.01
0.23,0.06,0.23,0.06
0.24,0.09,0.24,0.09
0.24,0.24,0.03,0.03
0.09,0.09,0.01,0.01
0.23,0.10,0.23,0.10
0.16,0.09,0.16,0.09
0.16,0.16,0.03,0.03
0.18,0.18,0.03,0.03
0.09,0.09,0.00,0.00
0.24,0.14,0.24,0.14
0.17,0.15,0.17,0.15
0.17,0.17,0.03,0.03
0.15,0.15,0.00,0.00
0.24,0.08,0.24,0.08
0.24,0.06,0.24,0.06
0.24,0.24,0.02,0.02
0.06,0.06,0.00,0.00
0.16,0.01,0.16,0.01
0.18,0.11,0.18,0.11
0.18,0.18,0.02,0.02
0.11,0.11,0.00,0.00
0.19,0.09,0.19,0.09
0.29,0.09,0.29,0.09
0.29,0.29,0.02,0.02
0.09,0.09,0.00,0.00
0.19,0.12,0.19,0.12
0.16,0.12,0.16,0.12
0.16,0.16,0.02,0.02
0.12,0.12,0.00,0.00
0.24,0.09,0.24,0.09
0.22,0.06,0.22,0.06
0.22,0.22,0.02,0.02
0.06,0.06,0.00,0.00
0.27,0.11,0.27,0.11
0.17,0.10,0.17,0.10
0.17,0.17,0.02,0.02
0.10,0.10,0.00,0.00
0.28,0.04,0.28,0.04
0.19,0.08,0.19,0.08
0.19,0.19,0.01,0.01
0.08,0.08,0.00,0.00
0.18,0.11,0.18,0.11
0.21,0.01,0.21,0.01
0.21,0.21,0.01,0.01
0.01,0.01,0.00,0.00
0.20,0.14,0.20,0.14
0.16,0.12,0.16,0.12
0.16,0.16,0.01,0.01
0.12,0.12,0.01,0.01
0.23,0.11,0.23,0.11
0.21,0.09,0.21,0.09
0.21,0.21,0.01,0.01
0.09,0.09,0.00,0.00
0.22,0.07,0.22,0.07
0.19,0.11,0.19,0.11
0.19,0.19,0.01,0.01
0.11,0.11,0.00,0.00
0.21,0.03,0.21,0.03
0.24,0.06,0.24,0.06
0.24,0.24,0.01,0.01
0.06,0.06,0.00,0.00
0.21,0.15,0.21,0.15
0.21,0.07,0.21,0.07
0.21,0.21,0.00,0.00
0.07,0.07,0.00,0.00
0.25,0.11,0.25,0.11
0.22,0.10,0.22,0.10
0.22,0.22,0.00,0.00
0.10,0.10,0.00,0.00
0.21,0.15,0.21,0.15
0.20,0.11,0.20,0.11
0.20,0.20,0.00,0.00
0.11,0.11,0.00,0.00
0.25,0.06,0.25,0.06
0.24,0.09,0.24,0.09
0.24,0.24,0.00,0.00
0.09,0.09,0.00,0.00
0.18,0.07,0.18,0.07
0.25,0.11,0.25,0.11
0.25,0.25,0.01,0.01
0.11,0.11,0.00,0.00
0.26,0.09,0.26,0.09
0.22,0.10,0.22,0.10
0.22,0.22,0.01,0.01
0.10,0.10,0.01,0.01
0.21,0.04,0.21,0.04
0.25,0.08,0.25,0.08
0.25,0.25,0.01,0.01
0.08,0.08,0.01,0.01
0.21,0.13,0.21,0.13
0.19,0.08,0.19,0.08
0.19,0.19,0.02,0.02
0.08,0.08,0.01,0.01
0.20,0.08,0.20,0.08
0.18,0.13,0.18,0.13
0.18,0.18,0.02,0.02
0.13,0.13,0.01,0.01
0.22,0.11,0.22,0.11
0.23,0.11,0.23,0.11
0.23,0.23,0.02,0.02
0.11,0.11,0.01,0.01
0.23,0.05,0.23,0.05
0.21,0.09,0.21,0.09
0.21,0.21,0.02,0.02
0.09,0.09,0.01,0.01
0.23,0.13,0.23,0.13
0.26,0.10,0.26,0.10
0.26,0.26,0.02,0.02
0.10,0.10,0.01,0.01
0.20,0.08,0.20,0.08
0.26,0.11,0.26,0.11
0.26,0.26,0.02,0.02
0.11,0.11,0.01,0.01
0.20,0.11,0.20,0.11
0.21,0.15,0.21,0.15
0.21,0.21,0.03,0.03
0.15,0.15,0.02,0.02
0.28,0.14,0.28,0.14
0.28,0.28,0.02,0.02
0.14,0.14,0.00,0.00
0.26,0.06,0.26,0.06
0.22,0.17,0.22,0.17
0.22,0.22,0.03,0.03
0.17,0.17,0.01,0.01
0.20,0.14,0.20,0.14
0.24,0.11,0.24,0.11
0.24,0.24,0.03,0.03
0.11,0.11,0.01,0.01
0.29,0.06,0.29,0.06
0.22,0.06,0.22,0.06
0.22,0.22,0.03,0.03
0.06,0.06,0.01,0.01
0.23,0.12,0.23,0.12
0.22,0.13,0.22,0.13
0.22,0.22,0.03,0.03
0.13,0.13,0.01,0.01
0.21,0.08,0.21,0.08
0.20,0.11,0.20,0.11
0.20,0.20,0.03,0.03
0.11,0.11,0.01,0.01
0.20,0.07,0.20,0.07
0.20,0.08,0.20,0.08
0.20,0.20,0.03,0.03
0.08,0.08,0.02,0.02
0.23,0.10,0.23,0.10
0.25,0.09,0.25,0.09
0.25,0.25,0.03,0.03
0.09,0.09,0.01,0.01
0.22,0.03,0.22,0.03
0.21,0.11,0.21,0.11
0.21,0.21,0.03,0.03
0.11,0.11,0.02,0.02
0.20,0.11,0.20,0.11
0.18,0.11,0.18,0.11
0.18,0.18,0.03,0.03
0.11,0.11,0.02,0.02
0.20,0.01,0.20,0.01
0.23,0.08,0.23,0.08
0.23,0.23,0.02,0.02
0.08,0.08,0.02,0.02
0.23,0.13,0.23,0.13
0.22,0.09,0.22,0.09
0.22,0.22,0.02,0.02
0.09,0.09,0.02,0.02
0.26,0.07,0.26,0.07
0.23,0.06,0.23,0.06
0.23,0.23,0.02,0.02
0.06,0.06,0.01,0.01
0.21,0.14,0.21,0.14
0.25,0.18,0.25,0.18
0.25,0.25,0.02,0.02
0.18,0.18,0.01,0.01
0.24,0.10,0.24,0.10
0.25,0.09,0.25,0.09
0.25,0.25,0.02,0.02
0.09,0.09,0.01,0.01
0.19,0.11,0.19,0.11
0.24,0.02,0.24,0.02
0.24,0.24,0.02,0.02
0.02,0.02,0.01,0.01
0.28,0.04,0.28,0.04
0.17,0.10,0.17,0.10
0.17,0.17,0.02,0.02
0.10,0.10,0.01,0.01
0.23,0.06,0.23,0.06
0.25,0.05,0.25,0.05
0.25,0.25,0.02,0.02
0.05,0.05,0.01,0.01
0.18,0.09,0.18,0.09
0.19,0.11,0.19,0.11
0.19,0.19,0.02,0.02
0.11,0.11,0.01,0.01
0.23,0.09,0.23,0.09
0.22,0.09,0.22,0.09
0.22,0.22,0.02,0.02
0.09,0.09,0.00,0.00
0.17,0.14,0.17,0.14
0.27,0.14,0.27,0.14
0.27,0.27,0.02,0.02
0.14,0.14,0.00,0.00
0.22,0.15,0.22,0.15
0.15,0.11,0.15,0.11
0.15,0.15,0.02,0.02
0.11,0.11,0.01,0.01
0.22,0.11,0.22,0.11
0.24,0.13,0.24,0.13
0.24,0.24,0.02,0.02
