ax,ay,rollFiltered,pitchFiltered
0.21,0.21,0.19,0.19
0.10,0.10,0.06,0.06
0.18,0.04,0.18,0.04
0.17,0.10,0.17,0.10
0.17,0.17,0.18,0.18
0.10,0.10,0.07,0.07
0.20,0.01,0.20,0.01
0.22,0.06,0.22,0.06
0.22,0.22,0.19,0.19
0.06,0.06,0.07,0.07
0.20,0.07,0.20,0.07
0.21,0.03,0.21,0.03
0.21,0.21,0.19,0.19
0.03,0.03,0.06,0.06
0.15,0.08,0.15,0.08
0.19,0.00,0.19,0.00
0.19,0.19,0.19,0.19
0.00,0.00,0.06,0.06
0.18,0.06,0.18,0.06
0.18,0.07,0.18,0.07
0.18,0.18,0.19,0.19
0.07,0.07,0.06,0.06
0.17,0.07,0.17,0.07
0.19,0.04,0.19,0.04
0.19,0.19,0.19,0.19
0.28,0.09,0.28,0.09
0.28,0.28,0.19,0.19
0.09,0.09,0.07,0.07
0.21,0.02,0.21,0.02
0.22,0.13,0.22,0.13
0.22,0.22,0.19,0.19
0.13,0.13,0.07,0.07
0.25,0.07,0.25,0.07
0.23,0.02,0.23,0.02
0.23,0.23,0.19,0.19
0.02,0.02,0.07,0.07
0.22,0.06,0.22,0.06
0.26,0.06,0.26,0.06
0.26,0.26,0.20,0.20
0.06,0.06,0.07,0.07
0.21,0.09,0.21,0.09
0.22,0.07,0.22,0.07
0.22,0.22,0.20,0.20
0.07,0.07,0.07,0.07
0.20,0.06,0.20,0.06
0.20,0.06,0.20,0.06
0.20,0.20,0.20,0.20
0.06,0.06,0.07,0.07
0.22,0.08,0.22,0.08
0.18,0.15,0.18,0.15
0.18,0.18,0.20,0.20
0.15,0.15,0.07,0.07
0.25,0.07,0.25,0.07
0.22,0.05,0.22,0.05
0.22,0.22,0.20,0.20
0.05,0.05,0.07,0.07
0.17,0.10,0.17,0.10
0.14,0.09,0.14,0.09
0.14,0.14,0.19,0.19
0.09,0.09,0.07,0.07
0.14,0.06,0.14,0.06
0.21,0.13,0.21,0.13
0.21,0.21,0.19,0.19
0.13,0.13,0.07,0.07
0.15,0.04,0.15,0.04
0.15,0.02,0.15,0.02
0.15,0.15,0.19,0.19
0.02,0.02,0.07,0.07
0.23,0.10,0.23,0.10
0.08,0.09,0.08,0.09
0.08,0.08,0.19,0.19
0.09,0.09,0.07,0.07
0.27,0.04,0.27,0.04
0.15,0.01,0.15,0.01
0.15,0.15,0.19,0.19
0.01,0.01,0.07,0.07
0.13,0.07,0.13,0.07
0.24,-0.01,0.24,-0.01
0.24,0.24,0.19,0.19
-0.01,-0.01,0.06,0.06
0.16,0.01,0.16,0.01
0.25,0.06,0.25,0.06
0.25,0.25,0.19,0.19
0.06,0.06,0.06,0.06
0.16,0.08,0.16,0.08
0.14,0.08,0.14,0.08
0.14,0.14,0.19,0.19
0.08,0.08,0.07,0.07
0.21,0.06,0.21,0.06
0.24,0.06,0.24,0.06
0.24,0.24,0.19,0.19
0.06,0.06,0.07,0.07
0.14,0.04,0.14,0.04
0.13,-0.00,0.13,-0.00
0.13,0.13,0.19,0.19
-0.00,-0.00,0.06,0.06
0.17,0.12,0.17,0.12
