ax,ay,rollFiltered,pitchFiltered
0.09,0.04,0.09,0.04
0.09,0.09,0.04,0.04
0.04,0.04,0.15,0.15
0.35,0.16,0.35,0.16
0.34,0.17,0.34,0.17
0.34,0.34,0.03,0.03
0.17,0.17,0.15,0.15
0.23,0.09,0.23,0.09
0.26,0.11,0.26,0.11
0.26,0.26,0.06,0.06
0.11,0.11,0.16,0.16
0.40,0.11,0.40,0.11
0.13,0.01,0.13,0.01
0.13,0.13,0.04,0.04
0.01,0.01,0.14,0.14
0.15,0.14,0.15,0.14
0.50,0.08,0.50,0.08
0.50,0.50,0.07,0.07
0.08,0.08,0.13,0.13
0.21,0.13,0.21,0.13
0.14,0.14,0.14,0.14
0.14,0.14,0.09,0.09
0.14,0.14,0.14,0.14
-0.02,0.18,-0.02,0.18
0.30,0.08,0.30,0.08
0.30,0.30,0.02,0.02
0.08,0.08,0.08,0.08
0.27,0.16,0.27,0.16
0.28,0.04,0.28,0.04
0.28,0.28,0.04,0.04
0.04,0.04,0.07,0.07
0.28,0.11,0.28,0.11
0.14,0.03,0.14,0.03
0.14,0.14,0.03,0.03
0.03,0.03,0.06,0.06
0.38,0.24,0.38,0.24
0.30,0.15,0.30,0.15
0.30,0.30,0.03,0.03
0.15,0.15,0.06,0.06
0.42,0.10,0.42,0.10
0.35,0.13,0.35,0.13
0.35,0.35,0.06,0.06
0.13,0.13,0.08,0.08
0.22,-0.02,0.22,-0.02
0.22,0.06,0.22,0.06
0.22,0.22,0.06,0.06
0.06,0.06,0.09,0.09
0.24,0.13,0.24,0.13
0.17,0.22,0.17,0.22
0.17,0.17,0.04,0.04
0.22,0.22,0.10,0.10
0.29,0.03,0.29,0.03
0.36,-0.03,0.36,-0.03
0.36,0.36,0.05,0.05
-0.03,-0.03,0.10,0.10
0.15,0.22,0.15,0.22
0.23,0.23,0.23,0.23
0.23,0.23,0.06,0.06
0.23,0.23,0.09,0.09
0.22,0.11,0.22,0.11
0.25,0.14,0.25,0.14
0.25,0.25,0.05,0.05
0.14,0.14,0.12,0.12
0.19,0.13,0.19,0.13
0.33,0.18,0.33,0.18
0.33,0.33,0.06,0.06
0.18,0.18,0.13,0.13
0.14,0.08,0.14,0.08
0.24,0.07,0.24,0.07
0.24,0.24,0.07,0.07
0.07,0.07,0.12,0.12
0.21,0.04,0.21,0.04
0.22,0.04,0.22,0.04
0.22,0.22,0.05,0.05
0.04,0.04,0.10,0.10
0.29,0.06,0.29,0.06
0.26,0.10,0.26,0.10
0.26,0.26,0.05,0.05
0.10,0.10,0.09,0.09
0.30,0.15,0.30,0.15
0.24,0.08,0.24,0.08
0.24,0.24,0.05,0.05
0.08,0.08,0.09,0.09
0.21,0.12,0.21,0.12
0.17,0.18,0.17,0.18
0.17,0.17,0.03,0.03
